Sentence,VADER_neg,VADER_neu,VADER_pos,VADER_compound,VADER_Sentiment
"Ever since I watched the movie mat kilau , I have learned a lot of language",0,1,0,0,Neutral
"Where? We were in MMU Theater competitions together . Perempuan Itu (long time no TV especially Malay drama) is it Isma's? For years I never followed , last Malay stories I watched was Mat Kilau & the aviation movie",0.072,0.928,0,-0.3736,Negative
"Become a song composer and film producer . What songs/movies are hits now , I told myself 10 years ago Examples of the movie Mat Kilau and the song go live for kat aina",0,1,0,0,Neutral
My cousins are watching Mat Kilau so I watched it too What is this movie,0,1,0,0,Neutral
Indonesia can produce movies like Big 4 and Hitmen but we are still stuck with Polis Evo and Mat Kilau . Indonesia can produce movies like Qodrat but Malaysia is still stuck with Munafik . ,0.132,0.737,0.132,0,Neutral
Uncle . I just finished watching Extraction 2 . Sol Mat Kilau shot the movie,0,1,0,0,Neutral
I haven't watched a movie in a long time,0,1,0,0,Neutral
Hahaha I can't even see it . Not to mention the movie movie will,0,0.753,0.247,0.5574,Positive
"His camera work is not like the style I did in the Mat Kilau film , and it is not like the Kingsman style of camera work . I don't remember what movie , but it's not like a typical mission impossible movie or a common action movie camera work , it's",0.123,0.877,0,-0.5824,Negative
Short snippets of Mat Kilau movie will now be used to advance identity politics of race and religion as many have started emerging on social media! Using the snippets out of context can and may inflame people! 6 state elections are coming! Contest based on ideas /,0,1,0,0,Neutral
Top 10 highest grossers in Malaysia: 1 . Mat Kilau (2022) - RM89 . 42 million 2 . Polis Evo 3 (2023) - 40 . 24 million (as of June 13) 3 . Hypocrite 2 (2018) - 37 . 74 million 4 . Hantu Kak Limah (2018) - 36 . 40 million 5 . Mechamato Movie (2022) - 35 . 88 million,0,0.956,0.044,0.2023,Positive
Puteri gunung ledang movie is so nice . It is beautifully written and it is exactly what mat kilau's writer had ever dreamed of but could never come close to,0,0.853,0.147,0.5659,Positive
"You have to make a quality movie to lift your spirits History - ""Mat Kilau"" BM - BI - Math - Science",0,1,0,0,Neutral
"hahaha . . . Mat Kilau movie , of all",0,0.581,0.419,0.5574,Positive
and thought it is so hilarious he chose to make reference from a dialogue in the movie Mat Kilau to support his view???,0,0.748,0.252,0.7738,Positive
"Just look at the Mat Kilau of the movie , how do you know how to use history as you see fit . Don't look at it comprehensively . The one who makes the movie and the one who watches the movie . The mentality is the same",0,0.945,0.055,0.3612,Positive
"Polis evo 3 is good . It's not powerful , but it's delicious . I don't think it's a waste to watch a local movie like this near the cinema . Light plot . Action sequence is nice , even better than Mat Kilau in terms of sound and camera angle . The armor plot is thick , but if you look at one piece , you don't even complain . ",0.022,0.661,0.317,0.9712,Positive
"have to make sure that the movie that is made is the best , crazy , then hype , then the quotes beat the Mat Kilau , then people can buy things",0.071,0.737,0.192,0.6249,Positive
"What to do , with the recent voting trends by the first time voters , influences by dumb tiktok videos , not capable of thinking , movies like mat Kilau which portrays non as enemy . . . . This route is taken to get",0.202,0.742,0.056,-0.7568,Negative
Just watched polis evo 3 . Was an okay movie . Predictable plot . 6/10 for me . BOOT!! Everyone else laughed and enjoyed the movie so much . Ready to get applause from people in the movie hall . But this one can get applause better than the Mat Kilau movie,0,0.684,0.316,0.9385,Positive
"Mat Kilau is historical , not a stupid political quote . If you want to make a movie to promote yourself , you can't afford it",0,0.729,0.271,0.6884,Positive
"Movie Mat Kilau best . All of us are excited about the anti-colonial side . Ready to fall in love with martial arts . Anwar's movie , no appeal . I'm asking the boys now , did the movie go viral?",0.048,0.659,0.292,0.9022,Positive
"It's no problem . . you can do it . . you don't want it . . it's not weird for promotion . . as an example , there are also films like this . . if you want to make a movie about Pas characters . . don't bother . . already confirm 1 . 8 billion worldwide views . . ",0.155,0.717,0.128,-0.0747,Negative
I compared it with Mat Kilau for no apparent reasons . Just being bitter because the movie sucks,0.366,0.634,0,-0.7579,Negative
"But even if I have to , this movie needs to exist (just like Mat Kilau) , to make way for better biopics in the future . Or how not",0,0.772,0.228,0.7964,Positive
"Ermm . . it feels like there are many free tickets at mat kilau . . I got free tickets at mat kilau 4 times . . police evo 3 twice . . I haven't been able to get this anwar untold story because it's fun to run out of free ones . . just like any free movie I've ever had I don't know hahahah . . if it's possible , I'll do it like this for another movie",0,0.692,0.308,0.9719,Positive
"I just finished watching it . Aq perati One2 seats that show full on the website n All are full . Also , other people come . Yes , there are free tickets . But there are other movies too (tanda putera , Mat Kilau) . Why are you fussing?",0,0.905,0.095,0.4588,Positive
"So movie bangnon with Mat Kilau , where else? Dialogue , story line , ",0,1,0,0,Neutral
"Mat Kilau . The advertisement is too much . I was also affected . When I saw it , I stopped . 1 old plot . Cinema even gives full slots/day instead of 4 slots/day per cinema movie",0.123,0.877,0,-0.3612,Negative
"right? The other day , it was said that it can be used against sale Mat Kilau . to make a movie that doesn't use this hill can only be a dream . ",0,0.931,0.069,0.25,Positive
"Make fun of him because he doesn't focus on the story line and then tears up . . The message of the movie is good and important , there is no touch plate . You're just dizzy",0.146,0.659,0.195,0.4588,Positive
Mat Kilau > Anwar *In terms of the movie,0,1,0,0,Neutral
"Anwar & Mat Kilau movie . I've noticed that Malaysians are too much against/glorifying the fact that films like fact/documentaries . Of course there are inaccuracies/fallacies . Do you really believe that Leonardo Dicaprio died on the Titanic?? It's just a movie , bro . Just enjoy it as it is",0.071,0.809,0.12,0.3527,Positive
"do movie on Mahathir instead , first day can collect 10 million ringgit and consistently getting 5 - 10 million ringgit for 30 weeks . bok can beat Mat",0,1,0,0,Neutral
"Both are not the best . Objectively speaking , this movie opened strong then withered as an unnecessary PSA that made the ending feel abrupt . Mat Kilau was horrifying in terms of blatant propaganda packaged as a warrior",0.209,0.715,0.076,-0.6973,Negative
"Farid Kamil should have called that chubby first before letting him watch the movie , only to get a high rating like Mat",0,0.889,0.111,0.3612,Positive
We need to make more movies like Mat Kilau than movies that involve stupid,0.187,0.66,0.153,-0.1585,Negative
"Yeahh in a Malaysian movie ""Mat Kilau"" he was a good one",0,0.756,0.244,0.4404,Positive
I watched a Mat Kilau movie . He was right . Malay is as noble as creed as religion,0,0.824,0.176,0.4588,Positive
"Memali The Movie if you style opponents like Mat Kilau , it's best . Who is suitable to hold the character of ayoh chik? Hasnul like in Polis Evo 2 is also ok",0,0.695,0.305,0.886,Positive
" . . . I X criticize the movie people say 10/10 , he dogged other people . Even though the review itself is 5/5 Mat Kilau . Stupid",0.25,0.75,0,-0.7184,Negative
"Example for me , I strongly disagree with reviewers who say Mat Kilau is the best . I don't like the other movies he recommended . So I ignore him . Chris Stuckkman(?) recommends a lot of stories that I like . There are a few that don't match but so far I'm satisfied",0.131,0.655,0.214,0.6473,Positive
I watched the last movie review,0,1,0,0,Neutral
"I don't know , I didn't even look at it again but . . . Mat Kilau gave him 5/5? Wtf If you want to make a historical film , make it like Lieutenant Adnan , Bukit Kepong , Bang Rajan . It's just real , this is a market in a Mat Kilau movie like a village nasi lemak stall",0.131,0.728,0.141,-0.1154,Negative
Mat Kilau the movie sgt,0,1,0,0,Neutral
"shut up , you're busy . back up people who are 5/5 Mat Kilau xde taste movie . BOO",0,1,0,0,Neutral
Is there anyone else who reviews this movie? he turned away,0,1,0,0,Neutral
"When I first wanted to watch this PMX movie , I remembered Mat Kilau , but then it didn't happen . Hrmm , don't be afraid of wasting money &",0.139,0.861,0,-0.5499,Negative
"I didn't see it until the end of his review . He praises has a basis , he criticizes curses has a basis . You are exaggerating . Why only mention Mat Kilau? He praises animated movies . He licks too",0.103,0.727,0.17,0.5719,Positive
"Even Mat Kilau can get 5/10 . In 4/10 only . Watch twice , fall asleep twice . Never fell asleep watching a movie at the cinema , but Mat Kilau",0,1,0,0,Neutral
Why do you want to compare Mat Kilau with Movie Bang Non? Movie Bang Non There are opponents fighting each other,0.11,0.833,0.057,-0.296,Negative
"Aah , it's the same . We'll see that it's okay , that Mat Kilau . I don't even think about the movie . Look for fun . If it's fun , it's fun . But it's true , after he made sarah cem , it became a waste on the sole",0.075,0.69,0.235,0.7096,Positive
"Apart from the overrated movie mat kilau , haters even overrated hate the movie",0.385,0.615,0,-0.7845,Negative
"To this day , I'm strange , how did Mamat turn the movie review for a high rating on that Mat Kilau . When he reviews , he always emphasizes the aspect of cinematography , but in Mat Kilau , it is badly destroyed . The cackling camera is too bad . Campelaq . That's the one",0.253,0.747,0,-0.9393,Negative
I suspect the Mat Kilau movie will have to be quoted again if there is a review,0.136,0.864,0,-0.296,Negative
That's the quantity . Great a movie based on quality not quantity . That's the level of taste Malaysians want to make . Do many Malaysians watch the highest rated movie worldwide? That's why it flopped when it entered the Indonesian market . The quality of Indonesian movies is much better,0,0.838,0.162,0.8074,Positive
The highest-lowest grossing thread of 47 films in 2022: Mat Kilau - RM 89 . 42 million Mechamato Movie - 35 . 88 million Air Force The Movie - 29 . 38 million Abang Long Fadil 3 - 24 . 27 million Talbis Iblis - 4 . 12 million The Assistant - 2 . 44 million Nasi Lemak 1 . 0 - 2 . 10 million Remp-It 2 - 1 . 90,0.027,0.973,0,-0.0772,Negative
"Why did I think of Bell? Hahahaha eheh Beto in Mat Kilau . After the movie , he eclipsed everyone1 I think . This Raya , his face is everywhere! + The star moon & the sweet fat song are over",0,0.907,0.093,0.5093,Positive
Just watched Mat Kilau Why did they treat Mat Kilau's fight scenes as the characters were superheroes . . . The movie itself was OKAY but the glaring issues came from the fight scenes and Captain Syers (his writing was honestly pretty comical it was,0.098,0.677,0.225,0.7761,Positive
Better than all malaysian movies better than Mat Kilau camera Mat Kilau,0,0.633,0.367,0.7003,Positive
What record is this uki? This movie looks like dark web,0,0.8,0.2,0.3612,Positive
"After the Mat Kilau movie , everybody is a",0,1,0,0,Neutral
"first of all , i never agree with people who condescend the legend Mat Kilau himself , ofc he is one of our national heroes . however , it is never a reason for people to justify shamsul bcs the movie just was terrible and deceptive for so many",0.107,0.825,0.068,-0.2287,Negative
"Yeah because whenever I found a guy idolising mat kilau , he's referring to syamsul yusof's",0,0.845,0.155,0.296,Positive
"Mat Kilau , the first movie in my life . Soo next we wait , Malbat Mission Bakara | Black Hawk Down . If history he follows what America and the West write . Auto",0,1,0,0,Neutral
Shamsul Yusof . want to make a 2-use Mat Kilau film,0,0.86,0.14,0.0772,Positive
"because I don't know you very well , not because of race . If Chin View is making a movie with Mat Kilau and Yusof Haslam's son or the devil boy actor , what's the point? lol . like the case of shooting a pregnant wife , because the perpetrators are not female so there is no hype . That's because of him",0.137,0.744,0.119,-0.2893,Negative
"Those who deny that the British committed murder , destroyed houses , killed villagers in Pahang just like in the movie Mat Kilau . . you should see the episode of the Messenger's Footsteps today . . there is an academic here . ",0.3,0.607,0.093,-0.9042,Negative
"(Drop permit , Sen . 6010) 1 . Harry Potter 2 . The tomorrow war 3 . Kate 4 . Enola Holmes 5 . All Marvel Movies 6 . Maze Runner 7 . Black Swan 8 . Avatars 9 . Cruella 10 . Mat Kilau 11 . The greatest",0.112,0.688,0.201,0.4767,Positive
add on malay movie xlaku this year n maybe mat kilau is on the list this year,0,1,0,0,Neutral
"That's right , during the Mat Kilau movie , they kind of dropped that movie , he said he was racist",0.19,0.81,0,-0.6124,Negative
what if Malaysia were to make a film on Mahsuri history? would it have a great feedback and engagements such as Mat Kilau and other historic,0,0.794,0.206,0.6908,Positive
There are many black raya themes this year . Then the pot bay . The influence of the customer's Mat Kilaute film,0,1,0,0,Neutral
"Many movies I've seen in the cinema , but the movies are the most wasteful . It's more hype than the story , it's biased , it's more of a war scene",0.252,0.748,0,-0.8562,Negative
Wow . Movie Mat Kilau 2 is,0,0.513,0.487,0.5859,Positive
Can the camera man register as a camera man for the next movie mat,0,1,0,0,Neutral
Imagine the camera work in this movie is better than Mat Kilau tah maybe choreography is also,0,0.847,0.153,0.4404,Positive
This is not from a Mat Kilau movie,0,1,0,0,Neutral
i saw munafik and mat kilau movies and i feel like they are made are made for boring people it is so . . . local omggg . usually love the direction and theme of these but the execution and script are rubbish,0.041,0.85,0.109,0.4019,Positive
last got a movie leak story mat kilau full movie looks like it looks like,0.13,0.598,0.272,0.3818,Positive
"We have never been interested in his movie genres since the beginning , except for the latest one , it's a bit dull . I was never interested in his previous movie",0.231,0.769,0,-0.7364,Negative
People say that Mat Kilau movie is bad because of bad script . But I didn't expect it was actually REALLY BAD The characters don't have realistic conversations . They just throw 'big quotes' on every chance they get . Like a coffee chat to fight who can say the 'wokest',0.25,0.655,0.094,-0.8895,Negative
Time to stop watching syamsul's movie . Even Mat Kilau is like garbage,0.15,0.68,0.17,0.0772,Positive
His movies are rubbish . You idiots are quickly impressed with Mat,0,0.763,0.237,0.4767,Positive
"Fortunately , I have never seen that Mat Kilau movie . Will not support people's business",0.158,0.842,0,-0.3089,Negative
My colleague got it finally Tht Mat kilau is too heavy for kids . . now playing suitable for kids and let them know our local animation movies r on par with,0,0.94,0.06,0.2023,Positive
"Boycott the movie samsol tok . Even though I'm happy with my luck , I don't go to the movies . Sis",0.096,0.625,0.279,0.6597,Positive
"If there is a time machine , I want to take Mat Kilau to watch the movie Mat Kilau , let him fight in the theater to see how cringe the movie is . ",0.084,0.874,0.042,-0.3182,Negative
"Your movie is trash , many netizens admit that , until Roman Akhramovic lost its luster , why did it enter the Indo market , low rating , praised by its own country . whereas Indonesian movies entering Malaysia get high ratings and are well received",0.095,0.753,0.153,0.4019,Positive
"In terms of history and heritage , there seems to be no promotion while Pahang could have ride on the Mat Kilau movie and sell Kg Pulau Tawar as a tourism object . Sell Ulu Cheka via Pawang Noh a lesser known legend . There is a Pawang Noh Gallery in Ulu Cheka that is not on the tourism",0.041,0.959,0,-0.296,Negative
"There is a truth , there is a mistake in this statement . Personal is personal . But there are issues like beating people who don't want to stay in support . Let's see if his movie sells or not . Even though the drama penyondol has started and the movie isn't the best , the Mat Kilau is also sold",0.175,0.697,0.128,-0.4828,Negative
"Favorite Movies: Turning Red , Mat Kilau , Texas Chainsaw Massacre 2022 , A Werewolf Boy , All Avatar Movies , Kung Fu Hustle , Secret Zoo , Tokyo Revengers Live Action & Lagenda Budak",0.228,0.682,0.089,-0.6908,Negative
Owh you felt agitated when it came to anything about 'sensitivities'? I wonder where are you when non-Muslims felt 'sensitive' about 'Mat Kilau' movie Every race & religion have their unique sensitivities . Even those feminist movements have,0.081,0.919,0,-0.4588,Negative
"Some kuning likes to make plots , Raja Abdullah for example . The regiment may be a plot just like how Javanese joined Heiho during Jp occupation there , then used the combat skills to fight against imperialists . But watching Mat Kilau movie followed by Lt . Adnan movie is just",0.071,0.827,0.102,0.1406,Positive
"I looked at tiktok and suddenly came out after the syamsul/aaron mess . Haha , having watched syamsul's movies , I think he's suitable for gangsters . I was madly disappointed that day . His narration is beautiful . But oh God , his cinematography is ruined . I want to see",0.195,0.636,0.17,-0.3071,Negative
Maybe Mat Sakau the movie will win Oscar since Mat Kilau,0,0.725,0.275,0.5859,Positive
"And I think this movie is more successful for the atmosphere of the Malay people than the Mat Kilau movie . Historically fact , I don't know if it is correct or not . It's just that his old Malay vibe is still alive",0,0.847,0.153,0.7713,Positive
"I don't think Mat Kilau , another scenario and the movie scenario make me less masculine . Or maybe its just your netflix secretly spreading the degenerate ideologies like lgbtq",0,0.912,0.088,0.3612,Positive
"I doubt she would be as successful as she is now even if she got full support . Malaysia's market power is too low compared to Hong Kong and Hollywood . Just look Mat Kilau , highest grossing but only 97 mil ringgit far cry from the most mediocre direct to cd Disney movies",0.151,0.774,0.075,-0.5187,Negative
"Malaysians don't deserve TSMY , just go and celebrate mat kilau",0,0.709,0.291,0.5719,Positive
"I think EEAAO is also a story that if a fan of the Mat Kilau movie sees , he will not understand and will not",0,0.897,0.103,0.3182,Positive
"please differentiate between soap operas and movies , and what is the difference between malay moves better? the fact is that msians movies are still far below the level of indo , mat kilaua which was boasted in the past is even equivalent to the quality of indo years",0,0.896,0.104,0.6369,Positive
Imaginur is a movie about Alzheimer's . Nothing much . Overhyped same as Matt,0,1,0,0,Neutral
Imaginary . One of the movies I couldn't sleep this year . Solid like the second Malay story I didn't sleep after the luster . Maybe Beto Kusyairi's and Diana Danielle's acting will be right . I can't sleep because everything is a problem and unpredictable . ,0.065,0.837,0.098,0.1027,Positive
"Random thought . As much as I don't like Mat Kilau , they kinda dropped the ball by not releasing any OST . People are streaming Hasrat after watching Imaginur and the movie has only 3 million collections . Granted it is a good song and its my new sendu song . I just think its a missed",0.081,0.827,0.092,0.1506,Positive
hahaha I'm not sure if Malay movies are hard to watch in cinemas . You can count with your fingers haha . . I always wait for Astro to come out . I can't see it on netflix . ,0.089,0.738,0.174,0.6414,Positive
Yes . . . . I think so too he is protecting his money and other assets . . . . his Mat Kilau movie which he directed made RM 100 million in the box office,0,0.85,0.15,0.5267,Positive
"It's nice to know that the movie is the best and is there any content? After leaving the movie , you feel like watching it again . make me feel like that . Mat Kilau makes me want to refund my money & time . ",0,0.725,0.275,0.9062,Positive
"Movies like this are what we should praise , not like death",0,0.373,0.627,0.8944,Positive
Mat Kilau is one of the most regrettable movies I've ever seen,0.246,0.754,0,-0.5563,Negative
"Congratulations , you discovered how the movie business works? Do you want a PhD? How do you think Mat Kilau did so well at the box office?",0,0.722,0.278,0.8167,Positive
A movie should be a movie . It's not like a school Independence Day time video play . Talking about Mat Kilau and all the movies that are similar,0.08,0.83,0.091,0.0747,Positive
"The film industry here wants to win an Oscar at the Academy Awards so bad but when you send a mediocre (personally IMO , really badly made) movie like Mat Kilau as a contender , I feel like there is no",0.2,0.551,0.249,0.1318,Positive
Compare imaginur with Mat Kilau like comparing movie avengers with beautiful,0,0.584,0.416,0.7506,Positive
"For every 'Mat Kilau' movie , there is a 'Flying Butter' . . . I say , why",0,1,0,0,Neutral
Mat Kilau . There is no historical story . Letop2 can box office . It seems that Malaysians like this type of movie,0.097,0.793,0.11,0.0772,Positive
People want to compare with Habibie & Ainun but they forgot that he was already retired by the time those movies were out . And Indonesians are mostly more big-hearted when it comes to films . Malaysians are conflicted about Mat,0,0.97,0.03,0.0387,Neutral
"Some people say that Anwar's untold story is not to be believed because there may be additions to make the story more beautiful . that's the end of the Mat Kilau story , that's very true . just relax both of them",0,0.775,0.225,0.8873,Positive
The target market of this story is not just Malaysia . Production is also from Indonesia . Want to compare with Mat Kilau is not relevant . The movie is Action/Drama . Not biographical,0,0.957,0.043,0.0772,Positive
no cus Mat Kilau movie was,0.306,0.694,0,-0.296,Negative
"Overated Mat Kilau has a movie . In the old days , the word ""you"" was used . Fortunately , they said not to use the word ""mat"" if it doesn't look stupid",0,0.907,0.093,0.4168,Positive
I watched mat kilau at the movies and that one sucked ass . Was playing with my phone the whole time . But imaginur is good not bcs it stands out from the other local movies . It genuinely has a good storyline and cinematography . It deserves a praise . Of course it's not,0.072,0.692,0.236,0.8945,Positive
if you want to compare with random Malaysian movies: Sa Balik Baju is far and away the best Bunohan is far and away the best Chow Kit is the best KL Gangster is far and away the best Mat Kilau not sure Istanbul here i come! by far the best (peak Beto,0.029,0.642,0.33,0.9706,Positive
"Listen to the story , this movie IMAM wants to fight Mat Kilau's narrative . But with many comments , people say the quality is far from heaven and earth (Mat Kilau more power) So , you have to see it to find out",0.041,0.859,0.101,0.5647,Positive
"Just watched Mat Kilau and Airforce The Movie . The movie that was hype before this . Yes , I'd rather watch a movie/drama late than follow the hype . For me who studies martial arts and is a palapes tudm officer and also a fan of the action genre , I enjoy every single moment of the",0,0.842,0.158,0.8236,Positive
Why is it that Imaginur's story doesn't get Mat Kilau's response? Malaysians like movies that are simple and don't have to think a lot,0,0.898,0.102,0.3612,Positive
"This Imaginur movie should have received a warmer reception than Mat Kilau . But that's it , this kind of movie choice won't be very well received . Mat salleh is the same , the power movie that won the oscar , where do people see it? If you appreciate art , I really recommend Imaginur . ",0.043,0.723,0.234,0.907,Positive
They allowed all those twisted stories/narratives to scare people using racial lines and this is the consequence . Eg Mat Kilau,0.144,0.856,0,-0.4939,Negative
"I like the Mechamato series too and don't like the Mat Kilau movie . Trust my review , indeed",0,0.61,0.39,0.8074,Positive
"Malay: some random Hooligan: Why don't Malays take care of their own culture and throw it away for the sake of religion? Malay: make a Mat Kilau movie , do it as an effort to preserve culture Hooligans: FASCIST , RACIST , FACIST FACIST , RACIST",0.375,0.625,0,-0.9684,Negative
